bugfix_commit,filename,bic
82645aa4e9e307b28351a10c0a450a2d387fa17e,artemis-core-client/src/main/java/org/apache/activemq/artemis/core/client/impl/LargeMessageControllerImpl.java,8ecd255f981e5d806173cf86f6fac9c4c7c25167
7988739f41f1c10aae911c64cfd7cb08c1e2bbb0,artemis-commons/src/main/java/org/apache/activemq/artemis/utils/uri/URIFactory.java,3b76ccc92b5f0e00de54a4fd6c3705d1b8509771
f1004c8b949cff2b74e819c257bff3521061ede2,artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/xml/XMLMessageExporter.java,812776fca7ab7e029bdc5b46da87325d597fd723
f1004c8b949cff2b74e819c257bff3521061ede2,artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/xml/XMLMessageExporter.java,ddd8ed440226fa9099f894fa0dd5c1e03614b7da
3f9de5fa304b828494a4b1ba1f380fe269d91055,artemis-core-client/src/main/java/org/apache/activemq/artemis/api/core/JsonUtil.java,a833d95c1fb7fd5ab5a5220a64df80d06815da47
3f9de5fa304b828494a4b1ba1f380fe269d91055,artemis-core-client/src/test/java/org/apache/activemq/artemis/api/core/JsonUtilTest.java,656b9e1924644b79ac9d0b6b5f7f8e4bf1a9174c
3f9de5fa304b828494a4b1ba1f380fe269d91055,artemis-protocols/artemis-amqp-protocol/src/main/java/org/apache/activemq/artemis/protocol/amqp/broker/AMQPMessage.java,1db3ae1dc075ee6a126ebeeb57f52ac9c0423574
3f9de5fa304b828494a4b1ba1f380fe269d91055,artemis-protocols/artemis-amqp-protocol/src/main/java/org/apache/activemq/artemis/protocol/amqp/broker/AMQPMessage.java,a833d95c1fb7fd5ab5a5220a64df80d06815da47
3f9de5fa304b828494a4b1ba1f380fe269d91055,artemis-protocols/artemis-amqp-protocol/src/main/java/org/apache/activemq/artemis/protocol/amqp/converter/AMQPMessageSupport.java,a851a8f93f30972d252f2bff0bb3d5847cfd7b5f
3f9de5fa304b828494a4b1ba1f380fe269d91055,artemis-protocols/artemis-amqp-protocol/src/main/java/org/apache/activemq/artemis/protocol/amqp/converter/AMQPMessageSupport.java,62627bf2ee4789d8c019170fba0fcbf64a697a38
3f9de5fa304b828494a4b1ba1f380fe269d91055,artemis-protocols/artemis-amqp-protocol/src/test/java/org/apache/activemq/artemis/protocol/amqp/broker/AMQPMessageTest.java,ddd8ed440226fa9099f894fa0dd5c1e03614b7da
ea8fe11c6d60dc9857544b41bbd1e00d9ae1a9a4,artemis-core-client/src/test/java/org/apache/activemq/artemis/api/core/TransportConfigurationTest.java,14f8e8d5abeb8417f177763edab7982f312a5e0f
ea8fe11c6d60dc9857544b41bbd1e00d9ae1a9a4,artemis-core-client/src/test/java/org/apache/activemq/artemis/api/core/TransportConfigurationTest.java,f84018a417cee7bbb1261f5ae36e51c9ddef748f
a0c4cba7e13ea34b2a0c3e2114664e7f41e3060c,artemis-server/src/main/java/org/apache/activemq/artemis/spi/core/security/jaas/LDAPLoginModule.java,f3a8619d7eeabded75f3725f2e77af267e8cb450
a0c4cba7e13ea34b2a0c3e2114664e7f41e3060c,artemis-server/src/main/java/org/apache/activemq/artemis/spi/core/security/jaas/LDAPLoginModule.java,57aacf784ce77068fc79f2cde54ca8b9cab99410
